Genes	Inflammatory	Goblet-like	Enterocyte	TA	Stem-like
PAQR5	0	-0.0031	0.0384	0.0606	-0.0081
CCL24	-0.1823	0.2141	0	0.0784	-0.0085
VNN1	0.2993	0.0071	0	-0.2398	-0.0087
WFDC2	-0.0944	0.2396	0	0	-0.0102
PSMB9	0.3035	0	0	0	-0.0103
GZMA	0.5439	0	0	-0.2148	-0.0103
VAV3	-0.4096	0	0	0.423	-0.0118
LY75	0	0	0	0.2712	-0.0119
CACNA1D	-0.2181	0	0	0.3298	-0.0122
TBX3	0	0.2417	-0.1916	0	-0.0155
MFSD4	-0.0284	0	0.4083	0	-0.0157
ATP8A1	0	0.0759	0	-0.0393	-0.0167
PPP1R14D	-0.2943	0	0.0147	0.2496	-0.0177
FRMD3	0	0	0.125	-0.0431	-0.0181
CPS1	0	0.3391	-0.005	0	-0.0196
CYP39A1	-0.2247	0	0	0.2655	-0.02
IL1R2	0.1142	0.2611	0	-0.2802	-0.0202
IGHM	0	0	0.2346	-0.1786	-0.0209
GABRP	0.0041	0.1624	0	0	-0.0221
ARSE	-0.0085	0	0	0.2053	-0.0253
ZIC2	0.3979	0	0	-0.1145	-0.0299
TNFRSF17	0	0	0.1733	0	-0.0334
LOC653602	-0.151	0	0	0.1509	-0.0362
SPAG1	0	0	0	0.1439	-0.0395
NEDD4L	-0.0333	0	0.0707	0	-0.0399
UGT2A3	-0.2127	-0.0638	0.4365	0.0923	-0.0404
SLC1A1	0.0619	0	0	-0.0697	-0.041
LGALS2	0	0	0.2603	0	-0.0413
CLDN8	-0.0779	-0.0473	0.9237	0	-0.0415
TOX	0	0.5363	0	-0.1211	-0.0441
TFAP2A	0.3438	0.2136	-0.189	-0.069	-0.0444
TOX3	0	0	0	0.1406	-0.0465
C17orf73	-0.0771	0	0.0831	0.0209	-0.0475
MLPH	0	0.33	0	-0.1434	-0.0511
FAS	0.1759	0	0.0573	-0.1003	-0.0522
F3	0.0335	0.1539	0	-0.0159	-0.0529
FMO5	-0.1242	0	0.0561	0	-0.0544
SPINK1	-0.2495	0	0	0.1836	-0.055
GUCY2C	-0.3597	0	0	0.2594	-0.0562
FGFR3	-0.0124	0	0	0.1569	-0.0564
PCSK1	-0.0537	0.5971	0	0	-0.0574
TCN1	0	0.6045	-0.012	-0.1313	-0.0578
MALL	0	0	0.1103	0	-0.0579
SLC3A1	-0.2476	0	0	0.2101	-0.0584
CD177	0	0	0.4963	-0.0076	-0.059
HNRNPH1	0.1863	0	0	0	-0.0593
TMEM37	0	0	0.3281	0	-0.0596
E2F7	0.1305	0	-0.1327	0	-0.0612
CLDN3	-0.1747	0	0	0.2229	-0.0614
DHRS11	-0.0404	0	0.2028	0.0508	-0.0625
SERPINA1	0	0.4433	0	-0.0382	-0.0625
SLC16A9	-0.0604	0	0.061	0.0346	-0.0639
GNLY	0.5097	0	0	-0.0483	-0.0645
ZNF165	0.1911	0	-0.0189	0	-0.0666
UGT2B17	-0.091	0	0.4545	0	-0.0669
CLDN18	0.1004	0.0605	0	0	-0.0672
ZFP36L2	-0.0876	0	0	0.1365	-0.0678
LOC646627	-0.286	0	0.7338	0	-0.0682
ANXA13	0	0.1626	0	0	-0.0691
LASS6	0	0	0	0.1218	-0.0697
TFF3	0	0.2859	0	0	-0.0699
SGK2	-0.2125	0	0.0205	0.3224	-0.0713
RNF125	0.1626	0.0824	0.0249	-0.2444	-0.0719
CHP2	-0.2525	0	0.412	0	-0.0724
ANKRD43	-0.2059	0	0.0255	0.3164	-0.074
PYY	0	0	0.5285	0	-0.077
B3GNT7	0	0	0.6661	-0.0172	-0.0773
FAM84A	-0.2409	0	0	0.2504	-0.0775
SCGB2A1	0	0.1165	0.2545	-0.022	-0.0782
BLNK	0	0.1155	0	-0.0025	-0.0784
DEFA5	-0.2069	0.4097	0	0	-0.0796
STS	0.137	0.0511	0	-0.0493	-0.0797
AQP8	-0.0967	-0.0503	0.6919	0	-0.0813
DDC	-0.0506	0	0	0.3179	-0.0814
SLC26A3	-0.4869	-0.3214	0.8633	0.2214	-0.0827
ENPP3	-0.2751	0	0.068	0.2982	-0.083
MOCOS	0.1547	0	0	0	-0.083
ARL14	0	0	0.2233	0	-0.0847
PDE9A	-0.1238	0	0.2265	0	-0.0849
VSIG2	-0.0998	0.1561	0.5903	-0.1277	-0.0855
EPHB3	0	0.0699	0	0.0728	-0.0879
UGT2B15	0	0.0291	0.2061	0	-0.0889
SCIN	0	0	0.2905	-0.0701	-0.0909
GCG	-0.0333	0	0.6672	0	-0.0915
EIF5A	0.2584	0	0	0	-0.0957
SLC7A11	0.2432	0	-0.0564	0	-0.0965
DEFA6	-0.2071	0.2699	0	0.1026	-0.0967
HSPA4L	0.4777	0	-0.1142	0	-0.0977
NR5A2	0	0	0.2702	0	-0.0978
FAM46C	0.058	0.156	0.0039	-0.1788	-0.0981
MUC1	0.1133	0.2233	0	-0.2325	-0.0986
SEMG1	0.2915	0	0	-0.0107	-0.0988
CA12	0	0.0193	0.1852	0	-0.1029
SSTR1	0	0.2208	0	0	-0.1029
PBLD	-0.1626	0	0.3327	0.0387	-0.1034
SDR16C5	0.1124	0.365	0	-0.2206	-0.104
CA1	-0.1556	-0.106	1.1648	0	-0.1047
SLITRK6	0	0.6746	0	-0.0671	-0.1053
C15orf48	0	0	0.1913	-0.0205	-0.1058
RETNLB	-0.1708	0.6788	0	-0.0034	-0.1068
REG1B	0	0.265	0.1291	-0.0772	-0.1068
GPR126	0.3516	0.0502	0	-0.1412	-0.1088
NAT2	-0.1429	0.0137	0.0234	0.02	-0.1099
RNF186	0	0.0295	0	0	-0.1105
PSAT1	0.1191	0	-0.1161	0	-0.1114
OLFM4	-0.1798	0	0.2002	0	-0.1118
A1CF	-0.4783	0	0.0926	0.3806	-0.112
PTGER4	0	0.1113	0.0641	0	-0.113
AP1S3	0.1181	0	0	0	-0.1136
SPINK5	0	0	0.4997	0	-0.1147
CWH43	-0.0661	0.1188	0.0912	0	-0.1153
TRPA1	-0.0318	0.2025	0.0203	0	-0.1164
GCNT3	0.1215	0.0448	0.1736	-0.2489	-0.1169
LAMA1	0	0.1677	0.2283	-0.0487	-0.118
KCNK1	0.1194	0.0547	0	-0.0584	-0.1184
MUC5AC	0.1499	0.1813	0	-0.0307	-0.1207
MYRIP	-0.1778	0	0	0.3282	-0.1215
FOXA1	0.1204	0.0106	0	0	-0.1229
C9orf152	0	0.1578	0	0	-0.123
STX19	0	0	0	0.0071	-0.124
CTSE	0.1232	0.3417	0	-0.2717	-0.1256
PARM1	0	0	0.0774	0	-0.1265
SI	0	0	0.7566	-0.1968	-0.1266
TSPAN12	0	0	0	0.1291	-0.1268
AQP3	0	0.55	0	-0.1016	-0.1272
PKIB	0	0	0.5363	-0.0196	-0.1285
DHRS9	0	0	0.6841	-0.0531	-0.1287
MEP1A	-0.4152	0	0.2711	0.2924	-0.1291
FAM55A	-0.0896	0.0635	0.3244	0	-0.1302
APOL6	0.1761	0	0	0	-0.1318
C10orf99	-0.4666	0	0.2794	0.2684	-0.1355
CEACAM1	-0.0758	0	0.1347	0.1253	-0.1364
IQGAP2	0	0.0843	0	-0.0291	-0.137
HGD	0	0.1104	0.0295	0	-0.1379
FAM110C	0	0	0	0.0756	-0.1389
BCL2L15	0	3.00E-04	0	0	-0.1409
LOC285628	0.1006	0	0	0	-0.141
MUC13	0	0	0.0047	0	-0.1415
SRSF6	0.3681	0	0	0	-0.1421
MAOA	0	0.0054	0.0645	0	-0.1426
REG3A	0	0.3642	0	0	-0.1431
ADH1C	-0.0505	0	0.7086	0	-0.1433
RHBDL2	0	0.124	0.164	0	-0.1433
RASEF	0	0.0349	0	0.0076	-0.1435
GNE	0	0.2974	0	-0.1021	-0.1436
EPB41L4B	-0.0915	0	0	0.1986	-0.1437
ELOVL7	0.0731	0.0922	0	0	-0.145
ID1	-0.2755	0	0	0.2997	-0.1463
BCAS1	0	0.2379	0.2158	-0.0024	-0.1501
PLA2G2A	0.2168	0.0815	0.4598	-0.486	-0.1579
FAM3D	-0.1337	0.0915	0.0829	0	-0.164
TMEM56	0	0	0	0.0477	-0.1641
HHLA2	0	0	0.2692	0	-0.166
GPA33	0	0	0.0895	0	-0.1674
FAM169A	0.114	0	-0.1773	0.0082	-0.1709
L1TD1	0	0.5659	0	0	-0.1713
HIPK2	0	0	0	0.0459	-0.173
CDHR5	-0.1114	0	0.4598	0.0126	-0.1746
NCRNA00261	0	0.6892	0	-0.0846	-0.1753
GIPC2	0	0	0	0.1653	-0.1758
SLC44A4	0	0	0.1474	0	-0.176
TMEM144	0.0196	0	0	0	-0.1761
CLRN3	-0.0303	0.0521	0	0.0239	-0.1775
MS4A12	-0.2189	-0.085	1.2327	0	-0.1794
DMBT1	0	0.1604	0.0775	0	-0.1811
KLF4	0	0.1714	0.1652	-0.0391	-0.1811
TYMS	0.2779	0	0	0	-0.1827
TCEA3	0	0.0673	0.1001	0	-0.1849
REG1A	0	0.3339	0.1229	-0.106	-0.1862
O3FAR1	0	0.2761	0.0131	-0.1374	-0.1871
AKR1B10	0	0	0.4524	0	-0.1894
ZG16B	0	0.0674	0	0	-0.1899
DUOXA2	-0.0559	0.1986	0.0347	0	-0.1909
TSPAN1	0	0.0296	0.2593	-0.0498	-0.1927
CMBL	0.025	0	0	0	-0.1931
LRRC19	-0.2406	0	0.4224	0.0842	-0.1958
CA4	-0.1041	-0.1611	1.1584	0	-0.1962
PFKFB2	0	0	0	0.0178	-0.1963
CA2	0	0	0.8348	-0.2319	-0.1966
MUC5B	0.0166	0.3267	0	-0.1629	-0.1967
PBK	0.2468	0	-0.0355	0	-0.1979
SGPP2	0.0406	0	0	0	-0.1984
PDZK1IP1	0	0.0371	0	0	-0.199
LRRC31	-0.1468	0.0055	0.052	0.0762	-0.1996
HSD17B2	0	0	0.4486	-0.0518	-0.2004
PLAC8	0.0752	0	0.4226	-0.2386	-0.213
FUT3	0	0.115	0	0	-0.2135
AHCYL2	0	0	0.1925	0	-0.2145
GALNT7	0	0.0897	0	0	-0.2155
TFF1	0	0.3534	0	-0.0308	-0.2172
KIAA1324	0	0.5516	0	0	-0.2217
C2CD4A	0.06	0.1973	-0.0763	0	-0.2233
HSD11B2	-0.2885	0	0.2056	0.122	-0.2238
ZG16	-0.277	0	1.2747	-0.0738	-0.2259
TMPRSS2	0	0	0.121	0	-0.2314
LOC100505633	0	0	0.1534	0	-0.2342
CEACAM7	-0.0427	0	0.7139	0	-0.2346
MUC4	0	0.3425	0.4273	-0.3378	-0.2358
C6orf105	0	0.0904	0.4878	-0.1345	-0.2366
FOXA3	0	0.3	0	0	-0.2388
CLCA1	-0.2813	0.4699	0.7005	-0.1336	-0.2418
DUOX2	-0.1636	0.2113	0.3329	0	-0.2425
PIGR	0.0536	0.0501	0.0738	-0.0398	-0.2547
RAB27B	0.487	0.2877	0	-0.3304	-0.2581
CASP1	0.2001	0	0	0	-0.2597
STYK1	0	0.0156	0.0878	0	-0.2605
AGR3	0.2161	0.3804	0.0991	-0.3697	-0.2605
LOC100505989	0	0.0763	0.0588	0	-0.2608
SLC4A4	0	0	0.883	-0.3218	-0.2627
CLCA4	-0.1036	-0.0549	1.2783	-0.0098	-0.2643
SLC39A8	0	0.1035	0	0	-0.2645
LCN2	0.0018	0.116	0	0	-0.2709
LIMA1	0	0.0672	0.0444	0	-0.2767
ITLN1	-0.1478	0.4826	0.7893	-0.264	-0.2835
TNFRSF11A	0.0938	0.1267	0	0	-0.2837
SPINK4	-0.1155	0.7836	0.4619	-0.2607	-0.2948
AGR2	0.2149	0.3838	0	-0.2065	-0.2962
TC2N	0.1365	0.1647	0	0	-0.3055
CCL28	0	0	0.3981	-0.0377	-0.3062
XDH	0	0	0.2604	0	-0.31
HEPACAM2	-0.1912	0.6205	0.5701	-0.1608	-0.3109
SELENBP1	-0.2011	0.0607	0.0439	0.1747	-0.3174
NR3C2	0	0.1313	0.2677	-0.0233	-0.3255
REG4	0.0373	0.7826	0.273	-0.5249	-0.3414
MUC2	0	0.5434	0.5514	-0.3675	-0.3415
ST6GALNAC1	0	0.4922	0.2987	-0.0889	-0.4119
FCGBP	0	0.6699	0.521	-0.3536	-0.4409
